prime_contractor,title,description,naics,place_of_performance,closing_date,poc_name,poc_email,poc_phone,url
"Management & Training Corporation (MTC)","CBP5501 Bldg. 181 Door Replacement Services","Door Installation services for the San Diego Job Corps Center, 1325 Iris Ave, Imperial Beach, CA 91932. Scope of Work attached to the SubNet notice.",238150,California,2026-10-06,Tom Williams,tom.williams@mtctrains.com,801-693-2629,https://www.sba.gov/federal-contracting/contracting-guide/prime-subcontracting/subcontracting-opportunities
"PACIFIC Advanced Civil Engineering, Inc.","College Park East Stormwater Infrastructure Design Services - Seal Beach, CA","Design, engineering, construction documents, environmental compliance, and technical services to advance the College Park East Stormwater Infrastructure Project to a construction-ready phase.",541330,California,2026-09-29,Jerry Farrell,jfarrell@pacewater.com,714-481-7213,https://www.sba.gov/federal-contracting/contracting-guide/prime-subcontracting/subcontracting-opportunities
"Don Moorhead Construction, Inc.","Terrace Drive Sewer System Improvements – Chimney Rock, NC","Installation of approximately 3,600 LF of 8-inch DIP gravity sewer line, manholes, sewer services, and other appurtenances.",237110,North Carolina,2026-10-05,Katie Lynn Hudson,katie.hudson@moorheadconstruction.com,864-338-0888,https://www.sba.gov/federal-contracting/contracting-guide/prime-subcontracting/subcontracting-opportunities
"SAK Construction, LLC","Village of Roanoke, IL Sanitary Sewer Lining Improvements","Subcontracting opportunities include: 1. Sewer Cleaning and CCTV Inspection, 2. Traffic Control, 3. Bypass Pumping.",237110,Illinois,2026-10-22,Matt Hirtz,bidcippc@sakcon.com,636-385-1000,https://www.sba.gov/federal-contracting/contracting-guide/prime-subcontracting/subcontracting-opportunities
"SAK Construction, LLC","City of Cincinnati, OH Gilbert Avenue at Casino Sewer Rehab","Subcontracting opportunities include: 1. Sewer Cleaning and CCTV Inspection, 2. Traffic Control, 3. Bypass Pumping, 4. Sewer abandonment, 5. Manhole vent installation.",237110,Ohio,2026-10-01,Ryan Hoganmiller,bidcippc@sakcon.com,636-385-1000,https://www.sba.gov/federal-contracting/contracting-guide/prime-subcontracting/subcontracting-opportunities
"Caldwell Tanks, Inc.","Section 2: Water Tower – 26_1001 – Moville-IA","Subcontracting opportunities for construction of a water tank in Moville, IA: Site Work (238910), Tank Paint (238320), Electric (238210), Fence (238990).",238110,Iowa,2026-09-28,"Kendal Eckert, Sales Manager",keckert@caldwelltanks.com,502-964-3361,https://www.sba.gov/federal-contracting/contracting-guide/prime-subcontracting/subcontracting-opportunities
"Marques General Engineering, Inc.","Wastewater System Expansion Project","Wastewater System Expansion Project for Fall River Valley Community Services District. Bid/Contract #: CWSRF No. C-06-8171-210. Location: Fall River Mills, Shasta, CA.",237110,California,2026-10-08,Jason Anderson,bids@mge-ca.com,916-923-3434,https://www.sba.gov/federal-contracting/contracting-guide/prime-subcontracting/subcontracting-opportunities
"Specialty Construction, Inc.","Multi-Family 8-Plex Rebuild Apartment Building Project, CA","Construction of an approximately 9,379-square-foot, two-story multifamily apartment building containing eight affordable housing units, with associated site improvements. Labor Surplus Area firms sought.",237110,California,2026-11-09,"Nate Agin / Daniel Leon",bids@specialtyconstruction.com,805-543-1706,https://www.sba.gov/federal-contracting/contracting-guide/prime-subcontracting/subcontracting-opportunities
"Adams & Associates\Woodland Job Corps Center","Interior Doors & Fixture Replacement","Replacement of 110 doors and hardware.",238350,Maryland,2026-10-06,Audrey Davis,Purchasing.Woodland@adamsaai.com,,https://www.sba.gov/federal-contracting/contracting-guide/prime-subcontracting/subcontracting-opportunities
"SAK Construction, LLC","USACE – St. Louis District MSD Infrastructure Repairs Phase 2","Subcontracting opportunities include: 1. Cleaning and Televising of Sanitary Sewers, 2. Point Repairs and Manhole Construction, 3. Manhole Rehabilitation, 4. Traffic Control.",237110,Missouri,2026-09-24,Matt Hirtz,bidcippc@sakcon.com,636-385-1000,https://www.sba.gov/federal-contracting/contracting-guide/prime-subcontracting/subcontracting-opportunities
