category,title,notice_id,agency,office,opp_type,naics,set_aside,posted_date,due_date,place_of_performance,description,url
IT services,DA01-Compensation & Pension (C&P) Product Line Help Desk Tier 2 and Deployment Support Services 2.0,36C10B26Q0725,"Veterans Affairs, Department of",Technology Acquisition Center NJ (36C10B),Sources Sought,541512,None,2026-09-17,2026-10-01,,RFI for Tier 2 help desk and deployment support services for the VA Compensation and Pension product line (draft PWS attached).,https://sam.gov/workspace/contract/opp/17385c5fc1a44eecbe2294da8487075e/view
IT services,CFBLNET,HC104709250103,Dept of Defense,Defense Information Systems Agency,Sources Sought,541512,None,2026-09-17,2026-09-30,,Full range of CFBLNet Design Transition and Operation (DTO) capabilities supporting mission partner network interoperability.,https://sam.gov/workspace/contract/opp/66a8cd9d139a4d82a14d1ed044fe6bb2/view
IT services,DCSA Innovation Gateway,HS0021-26-CSO-DCSA,Dept of Defense,Defense CI and Security Agency,Solicitation,541512,Full and open,2026-09-10,2031-06-22,,Competitive commercial solutions opening for prototype projects under Other Transaction Agreements in digital transformation data integration and cyber.,https://sam.gov/workspace/contract/opp/4b4330c5ddff4b16a1e5c99449d2b8dd/view
IT services,Wideband Remote Monitoring Sensor (WRMS) Enhancement and Sustainment (E&S),832675541,Dept of Defense,IT Contracting Division - PL83,Sources Sought,541512,None,2026-09-09,2026-09-23,,Sustainment and enhancement of the fielded WRMS v3.x satellite network spectrum monitoring software (draft PWS attached).,https://sam.gov/workspace/contract/opp/ee3fc685a6084c47b9b0dcc03e8fe1a8/view
IT services,Think Trends Software as an Agentic AI and Document Intelligence Solution,FDA-SOL-75F40126Q00384,"Health and Human Services, Department of",FDA Office of Acquisition and Grant Services,Combined Synopsis/Solicitation,541519,Full and open,2026-09-17,2026-09-24,"Silver Spring, MD",Agentic AI document intelligence for adverse event processing with OCR extraction and FOIA redaction capabilities.,https://sam.gov/opp/ecdde59a831d4a498a3b7da78e9ef2a5/view
Professional services,Communications Uses Market Rent Study,12318726Q0077,"Agriculture, Department of",USDA Forest Service,Combined Synopsis/Solicitation,541611,Full and open,2026-09-17,2026-09-25,,Market rent survey for wireless communications use authorizations across Forest Service communications sites.,https://sam.gov/workspace/contract/opp/0ee161d1fe724b8c93a6c89a729ba7c9/view
construction,Table Mountain T1 and B9 Renovation,1331L526TBRENOVAT,"COMMERCE, DEPARTMENT OF",DEPT OF COMMERCE SSPO,Solicitation,236220,Total Small Business Set-Aside (FAR 19.5),2026-09-10,2026-09-21,"Longmont, CO 80503","Renovate two buildings (T1 and B9) at Table Mountain, Longmont CO; 100% small business set-aside solicitation.",https://sam.gov/opp/4d7a96c95402445a8b270c089367eeeb/view
construction,iHouse Apartment Construction,75H70126R00026,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF","Indian Health Service, Division of Engineering Services - Seattle",Solicitation,236220,Indian Small Business Economic Enterprise (ISBEE) Set-Aside,2026-07-15,2026-10-08,"Tonalea, AZ 86044","Adapt and construct a 19-unit apartment building at Indian Rte 6290, Tonalea AZ; magnitude $5M-$10M; 365 calendar days; firm fixed price.",https://sam.gov/opp/9483c35d66534a47b935a6ca23dfde47/view
construction,FEMA Region 6 Regional Watch Center Renovations,70FBR626R00000012,"HOMELAND SECURITY, DEPARTMENT OF","FEDERAL EMERGENCY MANAGEMENT AGENCY, REGION 6",Solicitation,236220,SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15),2026-09-17,2026-09-23,"Denton, TX","Construct and renovate the FEMA Region 6 Regional Watch Center at 800 N Loop 288, Denton TX; firm fixed price RFP.",https://sam.gov/opp/1bc31846012145c49d8f6be17562c19f/view
construction,Replace Window B4311,FA466126R0011,DEPT OF DEFENSE,FA4661 7 CONS CD,Solicitation,236220,Total Small Business Set-Aside (FAR 19.5),2026-09-02,2026-09-22,"Dyess AFB, TX 79607","Remove and replace 6 window sections (12 awning windows) at Bldg 4311, Dyess AFB, with new aluminum fixed-frame assemblies; proposals due Sep 22, 2026.",https://sam.gov/opp/26165c511f8d4ba5b81f468897a3ba3e/view
construction,Patten Hall Renovations - United States Merchant Marine Academy (USMMA),6923G226Q000034,"TRANSPORTATION, DEPARTMENT OF","DOT MARITIME ADMINISTRATION, USMMA Procurement",Combined Synopsis/Solicitation,236220,Total Small Business Set-Aside (FAR 19.5),2026-08-26,2026-09-22,"Kings Point, NY 11024","Renovate Patten Hall incl. medical clinic at USMMA, Kings Point NY: floors, walls, ceilings, doors, lead and asbestos abatement, painting, ADA ramp, plumbing, backup generator; historic-property standards apply.",https://sam.gov/opp/b1298a0756cc474a984b189f0d9f1ded/view
construction,Repair Water Tanks Deficiencies,36C24826R0133,"VETERANS AFFAIRS, DEPARTMENT OF",248-NETWORK CONTRACT OFFICE 8 (36C248),Solicitation,236220,Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14); exclusively for VISN 8 Caribbean Construction MATOC IDIQ holders,2026-09-17,2026-09-24,"San Juan, PR","Design/build services for Repair Water Tanks Deficiencies (Project 672-26-110) at the VA Caribbean Healthcare System, San Juan PR.",https://sam.gov/opp/05404f94df6e47aa8dc99e9bd57c3d37/view
construction,REPAIR LIVE FIRE TRAINING FACILITY AIRCRAFT MOCK-UP,FA665626R0006,DEPT OF DEFENSE,"DEPT OF THE AIR FORCE, AIR FORCE RESERVE COMMAND, FA6656 910 AW LGC",Solicitation,236220,SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15),2026-09-17,2026-09-25,"Youngstown, OH","Repair and corrective work to the Aircraft Fire Training Facility aircraft mock-up at Youngstown Air Reserve Station: burners, ignition, structural steel, corrosion, sprinkler, propane and control systems.",https://sam.gov/opp/9aa4ab1bfa754acb9aa04b10abc97c63/view
