state,portal_name,url,no_login_search,notes
Alabama,Alabama Buys,https://alabamabuys.gov,unverified,"Portal page was fetched directly on September 18 2026 and state sources describe Alabama Buys as the official e procurement system; no login solicitation search was not explicitly verified so access is marked unverified."
Alaska,Alaska Online Public Notices,https://aws.state.ak.us/OnlinePublicNotices/default.aspx?msg=0,yes,"State identifies this as the official formal procurement notice system; notice listings are publicly viewable without login."
Arizona,Arizona Procurement Portal (APP),http://app.az.gov,yes,"State Procurement Office identifies APP as the official portal and lists open solicitations there; registration is required only to participate and submit responses."
Arkansas,ARBuy,https://arbuy.arkansas.gov/bso/,yes,"State Vendor Services identifies ARBuy as the current e procurement system with a public Open Bids search page; Arkansas is transitioning to SAP Ariba (started July 2026) and ARBuy remains active for solicitations opened before the transition."
California,Cal eProcure,https://caleprocure.ca.gov/pages/Events-BS3/event-search.aspx,yes,"Official DGS material identifies Cal eProcure and the California State Contracts Register; the event search page is publicly accessible."
Colorado,ColoradoVSS,https://colorado.gov/vss,yes,"Official pages identify ColoradoVSS as the state procurement system and state that registration is not required; unregistered users select Public Access."
Connecticut,CTsource,https://portal.CT.gov/das/procurement-programs-and-services/ctsource,yes,"Official DAS landing identifies CTsource as the state procurement platform; registration is not required to view Bid Board opportunities."
Delaware,MyMarketplace,https://mymarketplace.delaware.gov/,yes,"Official Division of Government Support Services portal; FAQ states open solicitations can be browsed without registration while Bonfire registration is required for questions or submission where used."
Florida,Vendor Information Portal,https://vendor.myfloridamarketplace.com/search/bids,yes,"Official materials identify this as the centralized procurement website with public advertisement searching for bids."
Georgia,Georgia Procurement Registry,http://ssl.doas.state.ga.us/PRSapp/PR_index.jsp,yes,"Official procurement manual states the Georgia Procurement Registry is freely accessible and publicly searchable."
Hawaii,HIePRO,https://hiepro.ehawaii.gov/welcome.html,yes,"Official state training material describes public solicitation search including details attachments line items and award search; login is required to respond and some Hawaii vendor only small purchases are intentionally hidden from public view."
